site_id,action,eval_fiscal_year,fy_start,fy_end,count
359372,violation,2018 / 2019,2018,2019,1
359381,inspection,2016 / 2017,2016,2017,1
359381,inspection,2019 / 2020,2019,2020,2
359381,violation,2016 / 2017,2016,2017,1
359381,violation,2019 / 2020,2019,2020,1
359478,inspection,2016 / 2017,2016,2017,1
359709,inspection,2016 / 2017,2016,2017,4
359709,inspection,2019 / 2020,2019,2020,2
359709,violation,2016 / 2017,2016,2017,6
359709,violation,2019 / 2020,2019,2020,4
359733,inspection,2013 / 2014,2013,2014,1
359733,inspection,2018 / 2019,2018,2019,1
359733,violation,2018 / 2019,2018,2019,1
359734,inspection,2018 / 2019,2018,2019,1
359734,violation,2018 / 2019,2018,2019,1
359736,inspection,2015 / 2016,2015,2016,3
359736,inspection,2019 / 2020,2019,2020,2
359736,violation,2015 / 2016,2015,2016,4
359736,violation,2019 / 2020,2019,2020,1
359738,inspection,2018 / 2019,2018,2019,1
359836,inspection,2018 / 2019,2018,2019,1
359842,inspection,2016 / 2017,2016,2017,2
359842,inspection,2019 / 2020,2019,2020,1
359842,violation,2016 / 2017,2016,2017,2
359848,inspection,2013 / 2014,2013,2014,1
359848,inspection,2019 / 2020,2019,2020,1
359851,inspection,2020 / 2021,2020,2021,2
359878,inspection,2018 / 2019,2018,2019,1
359897,inspection,2015 / 2016,2015,2016,4
359897,inspection,2018 / 2019,2018,2019,1
359897,violation,2015 / 2016,2015,2016,11
359897,violation,2018 / 2019,2018,2019,3
359904,inspection,2013 / 2014,2013,2014,3
359904,inspection,2015 / 2016,2015,2016,6
359904,inspection,2017 / 2018,2017,2018,1
359904,inspection,2019 / 2020,2019,2020,2
359904,violation,2013 / 2014,2013,2014,2
359904,violation,2015 / 2016,2015,2016,7
359904,violation,2019 / 2020,2019,2020,1
359915,inspection,2015 / 2016,2015,2016,3
359915,inspection,2018 / 2019,2018,2019,3
359915,violation,2018 / 2019,2018,2019,7
360163,inspection,2020 / 2021,2020,2021,1
360200,inspection,2017 / 2018,2017,2018,2
360200,violation,2017 / 2018,2017,2018,2
360204,inspection,2014 / 2015,2014,2015,1
360204,inspection,2015 / 2016,2015,2016,1
360204,inspection,2016 / 2017,2016,2017,1
360204,inspection,2017 / 2018,2017,2018,1
360204,inspection,2018 / 2019,2018,2019,1
360204,violation,2014 / 2015,2014,2015,3
360204,violation,2015 / 2016,2015,2016,3
360204,violation,2016 / 2017,2016,2017,2
360204,violation,2017 / 2018,2017,2018,1
360204,violation,2018 / 2019,2018,2019,2
360211,inspection,2016 / 2017,2016,2017,2
360211,inspection,2018 / 2019,2018,2019,1
360211,violation,2016 / 2017,2016,2017,2
360216,inspection,2018 / 2019,2018,2019,2
360216,violation,2018 / 2019,2018,2019,1
360242,enf_action,2015 / 2016,2015,2016,2
360242,inspection,2015 / 2016,2015,2016,2
360242,inspection,2018 / 2019,2018,2019,1
360242,violation,2015 / 2016,2015,2016,17
360242,violation,2018 / 2019,2018,2019,2
360255,inspection,2015 / 2016,2015,2016,2
360255,inspection,2016 / 2017,2016,2017,1
360255,inspection,2017 / 2018,2017,2018,1
360255,inspection,2018 / 2019,2018,2019,6
360255,inspection,2019 / 2020,2019,2020,6
360255,inspection,2020 / 2021,2020,2021,1
360255,violation,2016 / 2017,2016,2017,1
360255,violation,2018 / 2019,2018,2019,7
360255,violation,2019 / 2020,2019,2020,4
360255,violation,2020 / 2021,2020,2021,2
360274,inspection,2015 / 2016,2015,2016,1
360274,inspection,2018 / 2019,2018,2019,3
360274,inspection,2019 / 2020,2019,2020,1
360274,violation,2018 / 2019,2018,2019,2
360334,inspection,2016 / 2017,2016,2017,2
360355,inspection,2018 / 2019,2018,2019,2
360377,enf_action,2016 / 2017,2016,2017,1
360377,inspection,2016 / 2017,2016,2017,2
360377,inspection,2019 / 2020,2019,2020,1
360377,violation,2016 / 2017,2016,2017,1
360525,inspection,2015 / 2016,2015,2016,1
360525,inspection,2019 / 2020,2019,2020,1
360604,inspection,2016 / 2017,2016,2017,1
360604,inspection,2018 / 2019,2018,2019,1
360604,inspection,2019 / 2020,2019,2020,1
360604,violation,2016 / 2017,2016,2017,1
360604,violation,2019 / 2020,2019,2020,1
360606,inspection,2016 / 2017,2016,2017,1
360606,inspection,2017 / 2018,2017,2018,1
360606,inspection,2019 / 2020,2019,2020,1
360606,violation,2016 / 2017,2016,2017,1
360616,inspection,2019 / 2020,2019,2020,1
360635,inspection,2015 / 2016,2015,2016,1
360635,inspection,2017 / 2018,2017,2018,1
360635,inspection,2019 / 2020,2019,2020,1
360644,inspection,2018 / 2019,2018,2019,2
360644,violation,2018 / 2019,2018,2019,3
360653,inspection,2016 / 2017,2016,2017,1
360653,inspection,2018 / 2019,2018,2019,1
360653,inspection,2019 / 2020,2019,2020,1
360681,inspection,2016 / 2017,2016,2017,1
360681,inspection,2019 / 2020,2019,2020,1
360683,inspection,2014 / 2015,2014,2015,1
360683,inspection,2016 / 2017,2016,2017,2
360683,inspection,2019 / 2020,2019,2020,1
360683,violation,2016 / 2017,2016,2017,1
360715,inspection,2015 / 2016,2015,2016,1
360715,inspection,2017 / 2018,2017,2018,1
360715,inspection,2019 / 2020,2019,2020,1
360730,inspection,2016 / 2017,2016,2017,1
360836,inspection,2016 / 2017,2016,2017,2
360836,inspection,2019 / 2020,2019,2020,1
360836,violation,2019 / 2020,2019,2020,3
360917,inspection,2017 / 2018,2017,2018,2
360917,violation,2017 / 2018,2017,2018,4
360942,inspection,2015 / 2016,2015,2016,1
360942,inspection,2017 / 2018,2017,2018,3
360942,inspection,2018 / 2019,2018,2019,2
360942,violation,2015 / 2016,2015,2016,1
360949,inspection,2018 / 2019,2018,2019,1
360949,inspection,2019 / 2020,2019,2020,1
360949,violation,2018 / 2019,2018,2019,5
361034,inspection,2016 / 2017,2016,2017,1
361119,inspection,2015 / 2016,2015,2016,1
361119,violation,2019 / 2020,2019,2020,1
361174,inspection,2018 / 2019,2018,2019,1
361179,inspection,2018 / 2019,2018,2019,1
361180,inspection,2018 / 2019,2018,2019,1
361207,enf_action,2015 / 2016,2015,2016,2
361207,inspection,2015 / 2016,2015,2016,2
361207,inspection,2018 / 2019,2018,2019,2
361207,violation,2015 / 2016,2015,2016,15
361207,violation,2018 / 2019,2018,2019,5
361267,inspection,2015 / 2016,2015,2016,1
361267,inspection,2017 / 2018,2017,2018,1
361267,inspection,2019 / 2020,2019,2020,1
361275,enf_action,2014 / 2015,2014,2015,1
361275,inspection,2014 / 2015,2014,2015,1
361275,inspection,2015 / 2016,2015,2016,2
361275,inspection,2018 / 2019,2018,2019,2
361275,violation,2014 / 2015,2014,2015,1
361443,enf_action,2016 / 2017,2016,2017,1
361443,inspection,2016 / 2017,2016,2017,1
361443,inspection,2017 / 2018,2017,2018,1
361443,violation,2016 / 2017,2016,2017,1
361505,enf_action,2015 / 2016,2015,2016,1
361505,inspection,2015 / 2016,2015,2016,4
361505,inspection,2016 / 2017,2016,2017,1
361505,inspection,2017 / 2018,2017,2018,5
361505,inspection,2018 / 2019,2018,2019,1
361505,violation,2015 / 2016,2015,2016,18
361505,violation,2016 / 2017,2016,2017,4
361505,violation,2017 / 2018,2017,2018,6
361511,inspection,2018 / 2019,2018,2019,1
361531,inspection,2015 / 2016,2015,2016,1
361531,inspection,2017 / 2018,2017,2018,1
361531,inspection,2019 / 2020,2019,2020,1
361534,enf_action,2014 / 2015,2014,2015,1
361534,inspection,2014 / 2015,2014,2015,1
